Year,Month,NDVI,Rainfall_mm
2020,1,-0.4250370747590508,36.652515152865234
2020,2,-0.4075967386646854,20.499747272407483
2020,3,-0.3932106971373256,137.48698247273762
2020,4,-0.4057052859473316,226.2432279982657
2020,5,-0.46108113274185486,149.7568870472458
2020,6,-0.4370469208319986,187.56639095109963
2020,7,-0.49307841848821277,240.56016861747648
2020,8,-0.4958413829514858,257.1677104470115
2020,9,-0.4015255730136869,83.90586875212269
2020,10,-0.2639469892463359,104.32950099997174
2020,11,-0.471098095146529,112.42596214582335
2020,12,-0.4255787020549275,9.992641055209083
2021,1,-0.4751381401531537,31.968975041347477
2021,2,-0.42477380837711587,23.360565553221313
2021,3,-0.268447027203878,21.780959069953777
2021,4,-0.35327644359298666,70.62839876510812
2021,5,-0.48079693838717497,206.9749550573481
2021,6,-0.5155829340173188,75.45977004489059
2021,7,-0.48583997147967695,86.46451779611455
2021,8,-0.37573342707629015,119.34567149420204
2021,9,-0.22662999718152493,64.96107517458358
2021,10,,84.45387069894082
2021,11,-0.4574724426148331,33.653402976869785
2021,12,-0.46542828894957805,26.423288723807662
2022,1,-0.511118047531833,28.238766898149212
2022,2,-0.420789326226455,11.92834907597716
2022,3,-0.28201575843385013,28.13408758775243
2022,4,-0.23796364046431684,97.53356122220836
2022,5,-0.4278730926307456,104.84644466915972
2022,6,-0.4392673352552109,78.48151217650317
2022,7,,70.43043289664406
2022,8,-0.4210621703959318,193.7618021227279
2022,9,-0.32819518637421397,68.88964712514817
2022,10,-0.31897868855602596,55.985937021963245
2022,11,,81.76043163455508
2022,12,-0.43873364596382425,39.96606001104198
2023,1,-0.39601845349371384,7.917351158310033
2023,2,-0.3803932932101298,0.0
2023,3,-0.28756433997813047,84.61717063046102
2023,4,-0.3382146425225293,143.75147078412132
2023,5,-0.3882391741195262,111.4682372543047
2023,6,-0.4235713160421224,97.45483984077502
2023,7,-0.42866416373760485,87.24884644274444
2023,8,-0.4046800940852616,81.64344516010404
2023,9,-0.3053493760672644,66.18339319319095
2023,10,-0.28329553669491336,128.0757037000836
2023,11,-0.3556611294941639,112.12396180974612
2023,12,-0.44414848599195195,15.481506107438285
2024,1,,59.23306959620062
2024,2,-0.4257525215435185,26.31519625981649
2024,3,-0.260447686633688,42.12886269047575
2024,4,-0.37129507492242714,210.63668468200933
2024,5,-0.2568245615840542,197.93674133648665
2024,6,-0.33001648194087846,56.57358403187728
2024,7,-0.4183351330317451,159.98096139056128
2024,8,-0.4226205672380114,172.0151520940493
2024,9,-0.27869954489420645,35.66313624820619
2024,10,-0.2675733762845329,77.60834811206603
2024,11,,130.82982704714408
2024,12,-0.47836720767109586,11.379431431848298
2025,1,-0.48339297576994594,33.6303682891078
2025,2,-0.4380950487491799,4.618766117395846
2025,3,-0.38239922244513963,88.96990041132993
2025,4,-0.40735989064747824,122.47980190313088
2025,5,-0.48108819046737783,124.53781821172943
2025,6,-0.4880402207687272,113.3167539232557
2025,7,-0.46271472416739245,135.92532495672597
2025,8,-0.36185523105987605,156.19228643141452
2025,9,-0.3226014203517401,86.38254542320779
2025,10,-0.2770658964035859,148.06327640665398
2025,11,-0.42412208589428774,49.60344360950427
2025,12,-0.4906837094975882,47.648045601035065
2026,1,-0.49299460202583945,7.608440480142271
2026,2,-0.4008397655255448,105.94061356070657
2026,3,-0.379845433772453,155.33188449631695
2026,4,-0.3268452642614817,79.88084689566173
2026,5,-0.4358967413060638,137.24956100715218
2026,6,-0.5194789529373085,26.835688321395487
2026,7,-0.5092512731151378,
2026,8,-0.4571313611300765,
