Year,Month,Images,Average_NDWI
2020,1,1,-0.29513388424719084
2020,2,2,-0.2977887242460535
2020,3,1,-0.2777034620017592
2020,4,1,-0.3470318364592103
2020,5,5,-0.3674291622344533
2020,6,3,-0.3337509264499985
2020,7,1,-0.29814255978569193
2020,9,4,-0.3195386040184267
2020,10,3,-0.31481486496760636
2020,11,1,-0.2834207742066459
2020,12,5,-0.24742361872471053
2021,1,4,-0.2247556130250649
2021,2,1,-0.22743469829733892
2021,3,3,-0.2640783311174411
2021,4,1,-0.1769235414860716
2021,5,3,-0.3199851027292136
2021,6,2,-0.26782987261143343
2021,8,3,-0.26738429684626425
2021,9,3,-0.28967162923498807
2021,11,2,-0.2902385678949981
2021,12,2,-0.31576242629891726
2022,1,2,-0.32757012991018425
2022,2,1,-0.3395993185111663
2022,3,3,-0.34514812418501745
2022,5,4,-0.5245945090804328
2022,6,2,-0.47198187995646024
2022,8,2,-0.38579222479016634
2022,9,2,-0.4724815786012031
2022,10,2,-0.28183962015558994
2022,12,1,-0.3350645055569538
2023,1,5,-0.4104981046516513
2023,2,4,-0.4285012607167147
2023,3,2,-0.392365387022467
2023,5,2,-0.47297982106855063
2023,6,1,-0.34850433868851877
2023,8,3,-0.26379531727519645
2023,9,4,-0.3505892606409638
2023,10,1,-0.40602772748111376
2023,12,1,-0.3151420628451289
2024,2,2,-0.3787158658818517
2024,3,3,-0.2697063828355274
2024,4,2,-0.46011943465351296
2024,5,2,-0.4343418025529267
2024,8,1,-0.3588136894275013
2024,9,2,-0.36772143415628655
2024,10,2,-0.32024254197285956
2024,12,2,-0.3062465548153732
2025,1,1,-0.24151789760296383
2025,2,5,-0.2300415397664896
2025,3,3,-0.2531208712173434
2025,4,2,-0.41106551259888763
2025,5,2,-0.41733749310557716
2025,6,4,-0.36004847098776793
2025,7,1,-0.41713462701432286
2025,9,2,-0.3212623847992663
2025,10,1,-0.2753090094897969
2025,11,1,-0.30773486772837844
2025,12,1,-0.21040113413667302
2026,1,7,-0.289288245884249
2026,2,2,-0.3272423191529555
2026,3,1,-0.40690525894502727
2026,5,3,-0.37776006535662415
2026,6,5,-0.32919573985357536
2026,7,3,-0.3387662987460047
