Year,Month,NDVI,Rainfall_mm
2020,1,0.5445135992942371,58.755209189286944
2020,2,0.5176512513180096,43.832009598182765
2020,3,0.439322560044435,136.3254910993157
2020,4,0.444271292350271,218.6199943250515
2020,5,0.6020249229170436,90.75940509213406
2020,6,0.5664609045987022,90.70330057471729
2020,7,0.5325101666303506,50.101743321197404
2020,8,0.46182729103934145,71.74651598182497
2020,9,0.43340478196782967,62.18463671020462
2020,10,0.38363144275839056,79.60439597722728
2020,11,0.5075064744425719,103.39330974516635
2020,12,0.3306655510716717,21.951879962026098
2021,1,0.3018404458567351,49.54515443153334
2021,2,0.24583387542430196,36.39254124191504
2021,3,0.23706548946143483,42.75735617401908
2021,4,0.33936445234743656,73.34869243210203
2021,5,0.4671129256758172,132.00010541272135
2021,6,0.4364382752076131,32.752079584368204
2021,7,0.3524003128457818,97.26959009062841
2021,8,0.41520626721436676,87.32527016815608
2021,9,0.34929433469056886,59.64839603431252
2021,10,0.4305356754805464,52.887552213489336
2021,11,0.35876883575483953,32.375232138627744
2021,12,0.10182482334152398,54.067888600314724
2022,1,0.2517822069602471,23.819482340866532
2022,2,0.23406676961825604,54.41720151751672
2022,3,0.1870434914319077,33.56414401546177
2022,4,0.2060016506334734,95.2014164057101
2022,5,0.4381969542308159,63.26586493703921
2022,6,0.45193920451322095,38.17194232619467
2022,7,0.22557919259632886,36.66579384426849
2022,8,0.26369546595848425,63.18940463778066
2022,9,0.3990560873490667,64.85441766389256
2022,10,0.3638755363104552,40.0820008030201
2022,11,0.38867489400301974,109.8946452864739
2022,12,,34.07568711169541
2023,1,0.3207030156616318,16.006411648753897
2023,2,0.25604760230451173,6.479891986440086
2023,3,0.26365185044973843,86.35976457805228
2023,4,0.30558380705300964,132.24914508721463
2023,5,0.5601547341574908,58.78493688097562
2023,6,0.5235033510691567,58.280794102993035
2023,7,0.4094314462162477,28.29241926008964
2023,8,0.31714773940763813,29.833588217253066
2023,9,0.40746093084238566,74.6217648519327
2023,10,0.3486386275955594,61.602756670756804
2023,11,0.5307181402907715,143.10357333366366
2023,12,0.39213045421646137,38.82489396816813
2024,1,0.48367453399671395,90.1529348102986
2024,2,0.41548595183280623,32.79334558716682
2024,3,0.3871280555842913,45.40010247057025
2024,4,0.42971075188232527,199.12878588660897
2024,5,0.5383268940611958,196.8977834592051
2024,6,0.5913449226472491,44.060557859885506
2024,7,0.5344944148036123,106.56319205644292
2024,8,0.4953594566872418,51.54308700449344
2024,9,0.44008814943204844,53.47011310561389
2024,10,0.38745199750134907,59.15706594480923
2024,11,0.351501531231005,96.60317358976623
2024,12,0.4799906308227583,35.14864866527141
2025,1,0.41351901994305756,43.35129018143606
2025,2,0.35244013744283537,8.92690135953496
2025,3,0.2644907496306529,107.57117781854484
2025,4,0.5034095256419072,144.75227741794276
2025,5,0.5888125288446959,89.40320809935237
2025,6,0.5750775044252392,53.50010683650205
2025,7,0.48728464067474286,55.289571516112964
2025,8,0.28517530791911866,94.63579141181266
2025,9,0.3880408097722388,70.67415663169946
2025,10,0.4163479228899919,80.74663706914694
2025,11,0.4602607692940173,35.063850483801744
2025,12,0.39275088191627494,78.46247071872841
2026,1,0.2668208108197829,12.729127661945531
2026,2,0.1889643987232122,112.08227492904425
2026,3,0.3492977989449321,188.5048110918837
2026,4,0.5063370121653001,72.08454804917052
2026,5,0.5212740186739822,86.71409949016852
2026,6,0.4215073096949424,17.315148487986256
2026,7,0.3537370370518438,
2026,8,0.3735369060024179,
