Year,Month,Images,Average_NDWI
2020,1,1,-0.4706399275179308
2020,2,4,-0.45083626486783346
2020,3,2,-0.41721126925750607
2020,4,2,-0.4338173273458624
2020,5,3,-0.5066649119718627
2020,6,1,-0.4979516582295776
2020,8,2,-0.4315824616692593
2020,9,1,-0.42612219223445297
2020,10,1,-0.40427710217569374
2020,11,1,-0.43677724553930997
2020,12,1,-0.41300434379673323
2021,1,2,-0.34409578511984373
2021,2,3,-0.320290155508207
2021,3,4,-0.30872396209686415
2021,5,1,-0.38983701964639333
2021,6,3,-0.4012004150022673
2021,11,1,-0.3261236860002622
2022,1,3,-0.2685435016889036
2022,2,2,-0.2618639499699379
2022,3,3,-0.2537718075809863
2022,4,1,-0.25721336179897814
2022,5,1,-0.39435477121866797
2022,6,1,-0.3968564571622335
2022,9,1,-0.371321250837397
2022,10,2,-0.354419684138922
2022,11,1,-0.3495318968290936
2023,1,3,-0.3405476395016449
2023,2,6,-0.3176234341049063
2023,3,2,-0.3399867811196091
2023,5,2,-0.5080378630625791
2023,6,1,-0.5029653456629507
2023,7,1,-0.40504544473191356
2023,8,1,-0.33556281209208216
2023,11,1,-0.4494310793252039
2024,1,1,-0.4562895684620765
2024,2,3,-0.3866611129394797
2024,3,5,-0.37225494083439276
2024,4,1,-0.42551283822922875
2024,5,2,-0.46615822817445074
2024,6,1,-0.49548447715036054
2024,7,1,-0.48244500266181073
2024,8,1,-0.44396807673509764
2024,9,3,-0.41042609232445676
2024,10,2,-0.38953055661776675
2024,12,2,-0.41137078852075065
2025,1,4,-0.37680866156430026
2025,2,4,-0.34153123911354866
2025,3,1,-0.30604458023370334
2025,4,5,-0.41961550341428083
2025,5,2,-0.48162430782050747
2025,6,1,-0.48393363632014486
2025,7,2,-0.44039129063692156
2025,9,2,-0.3685651489018873
2025,11,2,-0.40687275157619474
2025,12,4,-0.36806295063474354
2026,1,6,-0.30543507120076013
2026,2,1,-0.2924343712431878
2026,3,1,-0.36108365402495973
2026,4,2,-0.4327770202976155
2026,5,2,-0.4463085067259327
2026,6,4,-0.3923338924814014
2026,7,1,-0.3579921699007736
2026,8,1,-0.34474681886276154
