Year,Month,Images,Average_NDWI
2020,6,1,-0.11224944226988508
2020,7,1,-0.10047793318497872
2020,8,3,-0.09143407762416916
2020,10,1,-0.10632978000382026
2020,12,1,-0.15213699207757084
2021,1,2,-0.15112517939073547
2021,2,1,-0.14921861957733787
2021,3,1,-0.11871583733656059
2021,8,1,-0.1861176834301341
2021,9,2,-0.1488064487800942
2021,11,2,-0.18890480752704503
2022,1,2,-0.1914591448455099
2022,2,1,-0.24893600173240052
2022,3,1,-0.20227267221939763
2022,7,1,-0.2078626683507692
2022,8,2,-0.18942627464497208
2022,9,2,-0.16998648911297728
2022,10,2,-0.15350892707394578
2023,1,4,-0.22410784262231123
2023,2,3,-0.18475408084870884
2023,3,1,-0.193745233095067
2023,8,2,-0.18466323397313691
2023,9,2,-0.16690135099038597
2024,2,1,-0.20985134029787614
2024,3,2,-0.23825510448492365
2024,6,1,-0.029511881276909697
2024,8,2,-0.08669074589953561
2024,9,1,-0.13015151631700045
2024,10,2,-0.1485397034437049
2024,11,1,-0.13953824424165243
2025,1,1,-0.21535361728865543
2025,2,4,-0.24236530886418223
2025,3,1,-0.24583938433470676
2025,7,1,-0.21179962813469438
2025,9,6,-0.17932944520152483
2025,11,1,-0.20394661040061796
2026,2,1,-0.21395267623336545
2026,6,1,-0.22187949763804896
2026,7,2,-0.2745304556421355
2026,8,1,-0.26159615212833975
