Year,Month,NDVI,Rainfall_mm
2020,1,-0.11360723661391148,85.69125572300557
2020,2,-0.1266400394187417,72.70462099231264
2020,3,-0.07224277162249525,171.1103692828484
2020,4,-0.024273160819961476,336.81269901743474
2020,5,-0.4201267452644987,132.00606819098851
2020,6,-0.22641175506444497,122.66591198091986
2020,7,-0.3666442549749448,51.57693533507533
2020,8,-0.3047655413210814,76.72423680623373
2020,9,-0.3225878767928144,62.130942674777785
2020,10,-0.09536203071578202,134.11803231359278
2020,11,-0.42526133643941927,105.01859994024599
2020,12,-0.30803820831033696,33.89297776462147
2021,1,-0.23818995335774557,88.63478058509108
2021,2,-0.11727411270722106,71.4621334786685
2021,3,-0.10320908811090229,54.765403016408285
2021,4,-0.17265260664327775,103.74790529515009
2021,5,-0.10584397916734986,161.31441171274244
2021,6,-0.20596042538485818,42.833709262152134
2021,7,-0.2680300021502141,108.90909412312058
2021,8,-0.2248406995862775,65.8302832081633
2021,9,-0.13968141898038675,32.3363953473433
2021,10,-0.26315632014705403,89.39727807734748
2021,11,-0.07647671677560226,48.24222058890001
2021,12,,75.4444128534329
2022,1,-0.18369647850489124,42.17788005954814
2022,2,-0.1966207502572525,70.99409522950273
2022,3,-0.21992927434491322,41.04068706260537
2022,4,-0.09279670016150064,138.7527017089556
2022,5,-0.12575510267591536,93.40168580589054
2022,6,-0.11541111550951516,41.08553978122256
2022,7,,46.584429324647914
2022,8,,45.09190623865187
2022,9,-0.361427722745645,44.9996394479454
2022,10,-0.16403857517731069,59.78119782801694
2022,11,-0.3385495530747057,133.00797128617387
2022,12,,36.60212490633598
2023,1,-0.3177098255105289,32.48357836345457
2023,2,-0.2621413003325944,12.175665436750686
2023,3,-0.3198263015285492,93.66114362800646
2023,4,,160.65544321252113
2023,5,-0.23552910808672622,79.78081861052124
2023,6,-0.31448009208144784,71.86301601157997
2023,7,-0.25286284040139295,31.562335185884677
2023,8,-0.2798650821821711,31.06269739139005
2023,9,-0.29572452694689594,53.18635336498045
2023,10,,105.03360704745886
2023,11,-0.3320707779933126,189.63318581371186
2023,12,,54.63869666333469
2024,1,-0.3580942353206066,145.93957655384855
2024,2,-0.1809445977383519,47.87185733063415
2024,3,-0.15230672374329146,95.07750345685946
2024,4,-0.280573008701702,432.37885364616443
2024,5,-0.41257565884854813,291.52182910307397
2024,6,-0.31365700466112423,76.22714506596232
2024,7,-0.24158956708513987,146.28267326714857
2024,8,-0.24977803289609524,35.420913761179406
2024,9,-0.19262225153320733,34.67577193704604
2024,10,-0.16450788035877217,78.63513295965375
2024,11,-0.15940800118610296,149.12066874953936
2024,12,-0.09726877424733316,66.70215400000039
2025,1,-0.2749643044547996,91.91705629455875
2025,2,-0.24614656815359376,11.7263350835841
2025,3,-0.1356979172494277,98.01254045558424
2025,4,-0.2056843566814382,204.34113422669702
2025,5,-0.08654470186057876,128.15557991952267
2025,6,-0.15140027671546855,72.26889537167999
2025,7,-0.2447587328900799,41.009013164980615
2025,8,,125.15742977670155
2025,9,-0.19735026632795466,31.640291335147882
2025,10,-0.14023516891477933,124.73085261560837
2025,11,-0.3021209138472769,39.81476685026157
2025,12,-0.11883848365505716,100.98381590933172
2026,1,-0.16829097094959009,16.116174509540297
2026,2,-0.02030851652280288,190.77377852973697
2026,3,-0.21946157336450078,243.9865777741438
2026,4,-0.13360214405712456,108.06046744172679
2026,5,-0.2125641020041402,118.54870732422816
2026,6,-0.3056589726149685,24.082861442011104
2026,7,-0.23951756947573366,
2026,8,-0.27744089520956905,
