Year,Month,Images,Average_NDWI
2020,1,2,0.24414820467443635
2020,2,7,0.297953702482641
2020,3,1,0.3630520957904378
2020,4,4,0.22892548866967125
2020,5,5,0.527278421785948
2020,6,1,0.3298952112695201
2020,8,2,0.4200252500819096
2020,9,1,0.46547429380729083
2020,10,2,0.423662886612661
2020,11,1,0.5925071835578236
2020,12,2,0.5670050631796753
2021,1,4,0.4459730472253358
2021,2,6,0.3089863852450492
2021,3,6,0.30091082697184907
2021,5,1,0.5308631358683189
2021,6,3,0.39964839724215523
2021,11,1,0.48328897372696294
2022,1,6,0.4379551619907363
2022,2,4,0.3557576429244523
2022,3,5,0.4012289638815391
2022,4,1,0.14113719465065283
2022,5,2,0.38849068666158365
2022,6,1,0.3111475817138092
2022,9,1,0.5485346390943764
2022,10,2,0.26825563788687573
2022,11,1,0.5213553108226671
2023,1,6,0.49022207394486134
2023,2,10,0.3978763380611978
2023,3,3,0.4574940793439601
2023,5,2,0.40657157176925335
2023,6,2,0.47360197270783233
2023,7,1,0.4028799700186161
2023,8,2,0.42386753542572436
2023,11,2,0.45952947954060974
2024,1,1,0.558225634193477
2024,2,5,0.2827131210445614
2024,3,6,0.3134146322629619
2024,4,2,0.572629197052675
2024,5,3,0.49366117875928633
2024,6,2,0.4062112206819032
2024,7,2,0.5048272821717247
2024,8,1,0.40423303208658695
2024,9,5,0.3601497333810733
2024,10,3,0.3661187938480901
2024,12,4,0.277657525514076
2025,1,7,0.48385019363160575
2025,2,8,0.46349767943034076
2025,3,2,0.3432487361191345
2025,4,7,0.42979144194314617
2025,5,2,0.3304731671949961
2025,6,1,0.3655271293727904
2025,7,2,0.4518127077213864
2025,9,3,0.3666958912743782
2025,11,4,0.4817157040868395
2025,12,4,0.3010222057149359
2026,1,9,0.3314580421226546
2026,2,2,0.48333910509902894
2026,3,1,0.44159710927413787
2026,4,2,0.31777615422370664
2026,5,3,0.48025178055379003
2026,6,6,0.48174776674246056
2026,7,2,0.3884874240725827
2026,8,2,0.4402385005810297
