Year,Month,Images,Average_NDWI
2020,2,2,-0.34872129729832624
2020,3,1,-0.3424911049255278
2020,4,2,-0.35849639527533605
2020,5,2,-0.37948381598894443
2020,6,2,-0.4001650473132035
2020,9,3,-0.34472153678868167
2020,10,2,-0.37021041007436234
2020,11,1,-0.3543846469621804
2020,12,4,-0.3576241247725598
2021,1,3,-0.3133422484379979
2021,2,1,-0.292009729190355
2021,3,3,-0.31849709153191774
2021,4,3,-0.3186761175713488
2021,5,2,-0.35734092567245507
2021,6,2,-0.3518013117722972
2021,8,2,-0.36905615616955345
2021,9,1,-0.3624302784644088
2021,11,2,-0.31678452350645164
2021,12,3,-0.2810623978170269
2022,1,2,-0.29765316607102854
2022,2,2,-0.2869996675406846
2022,3,3,-0.26592421658608595
2022,4,1,-0.2502138315232337
2022,5,3,-0.3798506472364721
2022,6,2,-0.4144353756993665
2022,7,1,-0.37260973288146043
2022,8,1,-0.3785991211756265
2022,9,1,-0.40252904635222414
2022,10,2,-0.37138224799144975
2023,1,6,-0.3022852258337626
2023,2,5,-0.2847224752131332
2023,3,1,-0.28806876415154337
2023,5,1,-0.39147010627277157
2023,6,1,-0.4338263481464663
2023,8,3,-0.3430925905163604
2023,9,2,-0.36008914019627963
2023,10,2,-0.35304269026717106
2023,12,4,-0.30726221154738526
2024,2,2,-0.30670804508128047
2024,3,3,-0.31110154487239394
2024,5,1,-0.3947788261440432
2024,6,1,-0.3953025012404029
2024,8,1,-0.39022515279773706
2024,9,2,-0.3895226380316616
2024,10,2,-0.3450738928622
2024,12,2,-0.2761495195825963
2025,1,2,-0.36326744717235454
2025,2,4,-0.3187372624910946
2025,3,3,-0.323887049226964
2025,4,2,-0.3779184841041589
2025,5,2,-0.40612440798194266
2025,6,4,-0.4178560043610385
2025,7,1,-0.388191549056899
2025,9,1,-0.39963214076934417
2025,11,3,-0.32479118496418735
2025,12,2,-0.28906737272373034
2026,1,5,-0.3320804749488194
2026,2,1,-0.3182809620071407
2026,3,1,-0.3883398293729873
2026,5,2,-0.3946471618047505
2026,6,3,-0.4023117679216864
2026,7,1,-0.29281610767149097
2026,8,1,-0.3345531355212834
