Year,Month,Images,Average_NDWI
2020,1,2,0.5111012066300659
2020,2,4,0.49236162034762104
2020,3,1,0.3944748687862049
2020,4,1,0.37189775597571884
2020,5,4,0.4705572910078076
2020,6,2,0.49894426562773436
2020,7,2,0.38110499411864146
2020,8,3,0.3716072510937494
2020,9,5,0.31758679347649765
2020,11,1,0.5443398218148999
2020,12,4,0.5465325069609807
2021,1,5,0.4608620978929554
2021,2,3,0.4012242872831124
2021,3,3,0.33272164633674095
2021,4,1,0.3388989050180531
2021,5,4,0.40020256416033656
2021,6,2,0.42930713440744855
2021,7,1,0.3996770470976287
2021,8,3,0.37666073546188783
2021,9,4,0.2941570123529158
2021,11,2,0.4325023219975716
2021,12,2,0.4423851105164709
2022,1,2,0.4389799968531525
2022,2,1,0.49154688551969644
2022,3,4,0.33562375423071933
2022,4,1,0.3453435322080117
2022,5,5,0.39999326715881284
2022,6,2,0.47672654853909124
2022,7,2,0.5215902229948686
2022,8,3,0.3979149829980011
2022,9,4,0.319703101026791
2022,10,3,0.2800549093077627
2022,12,1,0.5519596044215797
2023,1,6,0.4505530778956461
2023,2,4,0.4706857777055775
2023,3,1,0.35096891160837085
2023,5,2,0.4931579463300229
2023,6,2,0.5450471411793724
2023,7,2,0.4939948387140638
2023,8,3,0.4066832227537436
2023,9,2,0.3395820355403455
2023,10,2,0.2751175336238571
2023,12,2,0.5147044743996478
2024,1,2,0.5729802335008509
2024,2,2,0.5043145502454633
2024,3,3,0.3567561153263285
2024,4,1,0.6553971279152985
2024,5,2,0.49058891120773945
2024,6,2,0.5059069447481629
2024,7,3,0.495227692207899
2024,8,2,0.3589019486776513
2024,9,5,0.27988494695956506
2024,10,1,0.2727760061287879
2024,12,4,0.5621597999939435
2025,1,3,0.4919417494335835
2025,2,5,0.39295841821999034
2025,3,4,0.38537689910915407
2025,4,1,0.3713457317679642
2025,5,2,0.45409392958911593
2025,6,5,0.38433822232788833
2025,7,6,0.32594978706740035
2025,8,3,0.33531805264370973
2025,9,4,0.29999584506582
2025,10,2,0.3583646041906708
2025,11,3,0.46872256319401284
2025,12,1,0.41440030643154113
2026,1,7,0.45107762384781025
2026,2,3,0.2915997496353183
2026,3,1,0.2703403967705961
2026,5,5,0.35430142322556213
2026,6,7,0.4465906660404885
2026,7,5,0.4373450703334266
