Year,Month,Images,Average_NDWI
2020,1,1,0.4395932346346288
2020,2,2,0.4339762878189931
2020,3,1,0.41810259323346327
2020,4,1,0.5397815969495364
2020,5,5,0.4774785115702258
2020,6,3,0.46142819228679754
2020,7,1,0.5367498714684397
2020,9,4,0.500291082705382
2020,10,3,0.32816801917695854
2020,11,1,0.5752826698576604
2020,12,5,0.5524821560744871
2021,1,4,0.5845819210691979
2021,2,1,0.5780937790562118
2021,3,3,0.3698925206484597
2021,4,1,0.42316646098693256
2021,5,3,0.6156167988105057
2021,6,2,0.6501079688910834
2021,8,3,0.5160124160531107
2021,9,3,0.3162844186863133
2021,11,2,0.5610108752412537
2021,12,2,0.5520992726059967
2022,1,2,0.6133390229653216
2022,2,1,0.5164224390363167
2022,3,3,0.35701525114148425
2022,5,4,0.48385701877730686
2022,6,2,0.4781685978930193
2022,8,2,0.47915572494656633
2022,9,2,0.36145385371437155
2022,10,2,0.37411299348784194
2022,12,1,0.4728964966672213
2023,1,5,0.4696708593309647
2023,2,4,0.39267121553284434
2023,3,2,0.29036863508645944
2023,5,2,0.39031648988249945
2023,6,1,0.4386240584664548
2023,8,3,0.42037787257612863
2023,9,4,0.30143948886423755
2023,10,1,0.36100232753359934
2023,12,1,0.45310324536176
2024,2,2,0.41342488799909527
2024,3,3,0.2525572455431081
2024,4,2,0.36261335336048645
2024,5,2,0.15977891149030934
2024,8,1,0.42899588131948085
2024,9,2,0.32085639562023305
2024,10,2,0.2727101654188827
2024,12,2,0.5344701618744139
2025,1,1,0.626927075010923
2025,2,5,0.5144441857817451
2025,3,3,0.4837928492431156
2025,4,2,0.5001056166816253
2025,5,2,0.5843481296282262
2025,6,4,0.5596280031326449
2025,7,1,0.49346313773827843
2025,9,2,0.46809968191437723
2025,10,1,0.3233485370275918
2025,11,1,0.5092785362660768
2025,12,1,0.5428009548495595
